City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Puerto Escondido,15.85,-97.0667,79.63,69,90,3.44,MX,1635037772
Sandwick,60.0,-1.25,53.42,87,90,19.57,GB,1635037944
Inhambane,-23.865,35.3833,73.98,90,0,15.86,MZ,1635037944
Basse,52.5518,9.5069,41.23,87,0,5.75,DE,1635037944
Hobart,-42.8794,147.3294,55.02,70,75,5.01,AU,1635037773
Huarmey,-10.0681,-78.1522,64.06,85,38,10.8,PE,1635037847
Cabo San Lucas,22.8909,-109.9124,83.61,71,1,5.99,MX,1635037805
Bitung,1.4451,125.1824,86.85,69,100,3.11,ID,1635037945
Kefar Shemaryahu,32.1856,34.8219,68.92,78,1,4.61,IL,1635037945
Yangi Marg`ilon,40.4272,71.7189,38.12,70,0,6.91,UZ,1635037860
Khatanga,71.9667,102.5,8.4,91,98,15.88,RU,1635037901
Samarai,-10.6167,150.6667,81.27,80,25,12.24,PG,1635037946
Ghanzi,-21.5667,21.7833,65.34,18,0,10.31,BW,1635037946
Sahuaripa,29.05,-109.2333,75.43,33,0,6.17,MX,1635037946
Warwick,41.7001,-71.4162,54.1,71,20,10.36,US,1635037812
Sabha,27.0377,14.4283,77.67,19,32,13.65,LY,1635037947
Hualmay,-11.0964,-77.6139,62.87,83,29,11.59,PE,1635037766
Katobu,-4.9408,122.5276,87.85,60,14,1.45,ID,1635037947
Pisco,-13.7,-76.2167,61.02,82,27,21.85,PE,1635037689
Naze,28.3667,129.4833,70.43,63,98,21.12,JP,1635037648
Esim,4.8699,-2.2405,76.75,87,48,3.36,GH,1635037948
Kayerkan,69.3497,87.7602,21.42,93,98,6.89,RU,1635037948
Namatanai,-3.6667,152.4333,85.62,68,95,6.82,PG,1635037837
Quang Ngai,15.1167,108.8,74.57,95,100,6.49,VN,1635037949
Kavaratti,10.5669,72.642,81.18,75,60,2.55,IN,1635037738
Kimbe,-5.5502,150.1429,90.3,54,23,4.81,PG,1635037949
King City,36.2127,-121.126,67.42,49,100,9.66,US,1635037949
Ponérihouen,-21.0833,165.4,79.07,61,2,7.29,NC,1635037950
Noyabrsk,63.1994,75.4507,34.7,91,100,16.67,RU,1635037950
Broken Hill,-31.95,141.4333,62.85,36,0,12.06,AU,1635037687
‘Āhuimanu,21.4447,-157.8378,83.91,60,40,11.5,US,1635037950
Ucluelet,48.9329,-125.5528,52.09,83,26,3.42,CA,1635037946
Yaan,7.3833,8.5667,72.34,87,99,2.1,NG,1635037951
Dingle,10.9995,122.6711,82.47,80,59,0.29,PH,1635037788
Glens Falls,43.3095,-73.644,48.81,88,20,3.44,US,1635037821
Severo-Kuril'sk,50.6789,156.125,40.87,85,66,12.17,RU,1635037733
Namanyere,-7.5167,31.05,67.59,48,92,2.71,TZ,1635037951
Puerto Colombia,10.9878,-74.9547,78.89,76,65,4.21,CO,1635037952
Kaspiysk,42.8816,47.6392,48.38,100,75,4.47,RU,1635037952
La Libertad,-2.2333,-80.9,70.59,83,100,7.27,EC,1635037684
Ciudad del Carmen,18.6333,-91.8333,82.44,83,40,5.75,MX,1635037953
Krasnozatonskiy,61.6758,50.9794,32.22,100,90,6.71,RU,1635037953
Terrace,54.5163,-128.6035,45.43,90,98,1.48,CA,1635037846
Constitución,-35.3333,-72.4167,50.68,87,0,13.89,CL,1635037715
Jalu,29.0331,21.5482,69.8,38,27,10.98,LY,1635037821
Ambilobe,-13.2,49.05,73.06,92,95,3.02,MG,1635037777
Angoram,-4.0625,144.0661,89.51,55,100,4.32,PG,1635037954
San Juan de la Maguana,18.8059,-71.2299,70.32,91,56,2.37,DO,1635037954
Manacor,39.5696,3.2096,64.33,75,61,11.65,ES,1635037954
Raja,8.4596,25.678,70.77,87,12,3.8,SS,1635037955
Aksay,47.26,39.87,52.25,78,100,1.99,RU,1635037848
Dwārka,22.2394,68.9678,79.95,68,0,15.39,IN,1635037955
Bow Island,49.8668,-111.3684,47.48,41,99,10.38,CA,1635037955
Doha,25.2867,51.5333,78.78,65,0,3.44,QA,1635037949
Pouembout,-21.1333,164.9,83.17,50,3,8.81,NC,1635037956
Carnarvon,-24.8667,113.6333,75.27,69,0,12.66,AU,1635037745
Ciputat,-6.2375,106.6956,88.47,72,20,4.61,ID,1635037956
Timrå,62.487,17.3257,26.28,93,90,4.61,SE,1635037956
Insch,57.3427,-2.6132,56.68,89,100,13.71,GB,1635037957
Port-Cartier,50.0334,-66.8654,46.62,94,100,2.13,CA,1635037957
Atasū,48.6814,71.6433,36.7,52,0,9.24,KZ,1635037957
St. George's,12.0564,-61.7485,82.08,74,20,9.22,GD,1635037787
Narsaq,60.9167,-46.05,34.02,54,31,5.14,GL,1635037958
Tayoltita,24.0833,-105.9333,66.4,94,0,1.23,MX,1635037958
Poum,-20.2333,164.0167,74.21,77,16,7.4,NC,1635037958
Muborak,39.2553,65.1528,47.32,41,0,9.33,UZ,1635037959
Gizo Government Station,-8.103,156.8419,85.23,68,17,9.08,SB,1635037833
Havelock,34.8791,-76.9013,68.94,90,0,4.03,US,1635037959
Emerald,-23.5333,148.1667,93.31,29,85,7.9,AU,1635037959
Ca Mau,9.1769,105.15,81.41,81,29,5.55,VN,1635037960
Santa Catarina de Tepehuanes,25.35,-105.7333,60.71,55,0,8.48,MX,1635037960
Carutapera,-1.195,-46.02,78.24,84,100,5.53,BR,1635037960
Sobolevo,54.4299,31.8996,38.03,86,100,13.51,RU,1635037961
Boden,65.8252,21.6886,12.2,99,72,2.35,SE,1635037961
Scarsdale,41.0051,-73.7846,57.18,69,75,1.99,US,1635037899
Itarema,-2.9248,-39.9167,79.9,80,75,13.09,BR,1635037961
Rundu,-17.9333,19.7667,79.88,40,99,6.82,NA,1635037962
Jacareacanga,-6.2222,-57.7528,74.46,96,65,2.08,BR,1635037962
Cartagena,10.3997,-75.5144,82.02,89,75,4.61,CO,1635037811
Makat,47.6469,53.3463,48.94,28,12,10.27,KZ,1635037962
Riyadh,24.6877,46.7219,75.34,24,0,9.53,SA,1635037429
Marsá Maţrūḩ,31.3525,27.2453,68.34,73,0,6.51,EG,1635037963
Rome,43.2128,-75.4557,48.67,83,90,3.44,US,1635037676
Okha,53.5739,142.9478,37.72,75,99,17.52,RU,1635037963
Bowen,-20.0167,148.2333,80.76,64,100,10.33,AU,1635037964
Gârbou,47.15,23.4333,38.62,72,9,4.25,RO,1635037964
Port-Gentil,-0.7193,8.7815,77.52,85,99,9.55,GA,1635037959
Udachny,66.4167,112.4,26.17,92,100,20.31,RU,1635037822
Dubbo,-32.25,148.6167,66.33,42,0,11.5,AU,1635037828
Pangnirtung,66.1451,-65.7125,23.7,86,100,5.5,CA,1635037716
San Cristobal,7.7669,-72.225,71.78,99,100,2.75,VE,1635037788
Nishihara,26.1842,127.7558,76.28,62,75,12.66,JP,1635037965
Nyurba,63.2842,118.3319,33.46,77,100,11.65,RU,1635037707
Tadine,-21.55,167.8833,76.28,73,10,14.83,NC,1635037965
Iqaluit,63.7506,-68.5145,31.69,88,100,11.99,CA,1635037744
San Luis,-33.295,-66.3356,58.82,28,0,6.33,AR,1635037776
Lompoc,34.6391,-120.4579,68.38,78,1,6.91,US,1635037966
Atbasar,51.8,68.3333,45.18,91,55,14.79,KZ,1635037966
Sept-Îles,50.2001,-66.3821,46.92,100,90,3.44,CA,1635037731
Cardston,49.2,-113.3019,46.45,59,79,8.48,CA,1635037967
Cuamba,-14.8031,36.5372,74.86,38,98,4.21,MZ,1635037967
Spring Valley,36.108,-115.245,74.59,32,75,6.91,US,1635037594
Kautokeino,69.0125,23.0412,9.03,86,14,4.56,NO,1635037698
Sos'va,59.1766,61.8558,37.69,85,12,8.84,RU,1635037968
Luanda,-8.8368,13.2343,74.8,80,100,6.22,AO,1635037968
Katsuura,35.1333,140.3,59.14,53,22,6.49,JP,1635037712
Marechal Cândido Rondon,-24.5561,-54.0567,66.25,95,100,8.23,BR,1635037968
Popondetta,-8.7537,148.2534,91.58,44,22,4.74,PG,1635037969
Moose Factory,51.2585,-80.6094,37.38,100,90,3.44,CA,1635037764
Waingapu,-9.6567,120.2641,84.79,62,62,4.32,ID,1635037969
Yanam,16.7333,82.2167,79.2,89,97,3.33,IN,1635037969
Wattegama,6.7989,81.4808,74.62,87,96,1.36,LK,1635037970
Manzhouli,49.6,117.4333,40.48,48,12,3.11,CN,1635037970
Laas,46.6166,10.7002,39.61,48,2,2.24,IT,1635037914
Varkala,8.7341,76.7067,76.78,87,100,4.43,IN,1635037970
Três Lagoas,-20.7511,-51.6783,81.28,52,0,9.06,BR,1635037676
Puerto del Rosario,28.5004,-13.8627,71.35,56,55,11.5,ES,1635037971
Xapuri,-10.6517,-68.5044,82.67,64,44,3.27,BR,1635037971
Ancud,-41.8697,-73.8203,47.73,76,56,8.66,CL,1635037654
Kamenka,51.3223,42.7678,39.97,75,10,7.63,RU,1635037972
Dhilwan,31.5169,75.35,62.6,76,100,13.2,IN,1635037972
Giyani,-23.3025,30.7187,81.95,33,27,0.47,ZA,1635037972
Inta,66.0317,60.1659,22.53,95,83,12.33,RU,1635037822
Krasnosel'kup,65.7,82.4667,32.32,99,100,9.1,RU,1635037973
Emba,48.8264,58.1442,43.09,40,15,10.16,KZ,1635037973
Aldan,58.6031,125.3894,34.34,88,100,8.14,RU,1635037973
Villa Carlos Paz,-31.4241,-64.4978,62.24,47,0,1.01,AR,1635037974
Sittwe,20.15,92.9,75.58,84,99,5.53,MM,1635037712
Oktyabr'skoye,43.0645,44.7417,35.74,93,1,6.71,RU,1635037974
Zhangjiakou,40.81,114.8794,46.38,39,2,0.25,CN,1635037974
Lewiston,44.1003,-70.2148,47.23,75,40,5.75,US,1635037975
Kamakwie,9.5,-12.2333,73.51,97,100,1.59,SL,1635037975
Saint-Leu,-21.15,55.2833,74.23,91,1,7.18,RE,1635037975
Birjand,32.8663,59.2211,47.91,17,0,0.76,IR,1635037857
Nome,64.5011,-165.4064,33.87,69,1,4.61,US,1635037976
Quaraí,-30.3875,-56.4514,59.67,87,76,13.87,BR,1635037880
East London,-33.0153,27.9116,59.47,67,14,18.3,ZA,1635037765
Kashary,49.04,41.0056,45.16,63,24,7.43,RU,1635037976
Zyryanka,65.75,150.85,-0.45,78,10,9.6,RU,1635037977
Kruisfontein,-34.0033,24.7314,52.03,72,5,8.72,ZA,1635037684
Agadez,19.75,10.25,77.47,17,0,2.51,NE,1635037782
Palafrugell,41.9174,3.1631,57.34,49,0,8.48,ES,1635037977
Camopi,3.1655,-52.3158,74.43,95,94,3.71,GF,1635037978
Debre Birhan,9.6833,39.5333,44.2,79,6,4.23,ET,1635037978
Cuité,-6.4836,-36.1536,70.27,88,74,12.86,BR,1635037978
Itoman,26.1247,127.6694,77.02,61,75,12.66,JP,1635037823
Acajutla,13.5928,-89.8275,79.86,82,100,4.21,SV,1635037979
Tiznit Province,29.5833,-9.5,63.05,67,1,0.56,MA,1635037979
Clarence Town,-32.5833,151.7833,72.61,66,99,4.94,AU,1635037979
Mitsamiouli,-11.3847,43.2844,78.12,80,70,9.24,KM,1635037747
Salaga,8.5508,-0.5188,74.79,89,84,3.58,GH,1635037980
Hambantota,6.1241,81.1185,79.21,80,29,13.04,LK,1635037818
Bad Freienwalde,52.7873,14.0304,46.45,93,19,5.14,DE,1635037980
Mahon,39.8885,4.2658,61.36,88,0,9.22,ES,1635037981
Agartala,23.8364,91.275,73.42,88,5,0.0,IN,1635037982
São Filipe,14.8961,-24.4956,79.23,68,6,9.62,CV,1635037709
Algiers,36.7525,3.042,58.82,94,40,3.44,DZ,1635037877
Izhevskoye,54.5567,40.8703,37.22,81,9,9.69,RU,1635037983
Vrangel',42.7297,133.0839,51.76,46,0,7.05,RU,1635037983
Zipacón,4.7588,-74.3802,58.26,95,99,3.74,CO,1635037983
Rincon,32.296,-81.2354,67.12,88,1,0.0,US,1635037962
Port Hawkesbury,45.6169,-61.3485,61.7,99,90,1.99,CA,1635037984
Les Cayes,18.2,-73.75,78.89,79,96,4.83,HT,1635037984
Lüshunkou,38.8,121.2667,59.22,88,0,7.0,CN,1635037984
Yalvaç,38.2956,31.1778,50.49,41,8,1.1,TR,1635037985
Bako,5.7833,36.5667,65.03,62,6,4.16,ET,1635037985
Chu,43.5983,73.7614,41.23,58,0,2.24,KZ,1635037986
Deputatsky,69.3,139.9,-1.12,98,100,2.86,RU,1635037986
Solnechnyy,50.7214,136.6319,42.78,65,0,2.71,RU,1635037986
Kirakira,-10.4544,161.9205,87.24,66,8,11.63,SB,1635037987
Glotovka,53.9491,46.7042,37.94,92,6,7.31,RU,1635037987
Bac Lieu,9.285,105.7244,82.18,79,33,6.04,VN,1635037856
Prince Rupert,54.3161,-130.3201,43.45,89,100,9.8,CA,1635037987
Praia da Vitória,38.7333,-27.0667,64.76,76,19,12.12,PT,1635037988
Imeni Poliny Osipenko,52.4201,136.4853,37.27,75,14,2.44,RU,1635037988
Kununurra,-15.7667,128.7333,89.58,58,40,6.91,AU,1635037988
Svit,49.0601,20.2069,40.12,86,20,10.36,SK,1635037989
Port Macquarie,-31.4333,152.9167,83.89,62,14,18.16,AU,1635037712
Kendari,-3.945,122.4989,87.22,63,21,0.54,ID,1635037989
Opuwo,-18.0607,13.84,64.06,28,8,2.71,NA,1635037990
Baghdad,33.3406,44.4009,66.11,39,0,4.61,IQ,1635037990
Kayes,14.0,-11.0,80.24,72,100,4.12,ML,1635037990
Cham,47.1821,8.4636,43.03,88,5,1.14,CH,1635037991
Port Blair,11.6667,92.75,80.51,76,100,3.33,IN,1635037769
Sokodé,8.9833,1.1333,71.44,95,94,0.98,TG,1635037784
Killybegs,54.6333,-8.45,55.44,90,92,15.19,IE,1635037991
Otane,-39.8833,176.6333,55.69,78,100,3.02,NZ,1635037992
Manaia,-39.55,174.1333,59.79,90,100,10.78,NZ,1635037992
Two Hills,53.7169,-111.7518,40.53,64,100,15.23,CA,1635037992
Tari,12.4086,4.4914,79.14,67,92,6.22,NG,1635037993
Leshukonskoye,64.8989,45.7622,25.09,94,100,4.32,RU,1635037993
Shingū,33.7333,135.9833,63.93,44,18,3.67,JP,1635037994
Salem,11.65,78.1667,73.02,94,80,1.97,IN,1635037963
Shancheng,34.7953,116.0817,57.51,56,99,3.4,CN,1635037994
Bathsheba,13.2167,-59.5167,83.01,69,75,20.71,BB,1635037852
Calvinia,-31.4707,19.776,45.45,77,0,3.4,ZA,1635037994
Santa Vitória do Palmar,-33.5189,-53.3681,56.52,94,100,6.71,BR,1635037995
Sistranda,63.7256,8.834,42.91,74,100,15.88,NO,1635037995
Bairiki Village,1.3292,172.9752,86.0,58,40,4.61,KI,1635037995
San Policarpo,12.1791,125.5072,84.4,73,100,8.34,PH,1635037996
Flin Flon,54.7682,-101.865,37.58,73,98,9.89,CA,1635037767
Kleive,62.7954,7.6359,42.51,87,75,13.8,NO,1635037996
Mocuba,-16.8392,36.9856,72.57,67,23,4.23,MZ,1635037997
Phan Thiet,10.9333,108.1,79.9,79,100,3.0,VN,1635037914
Pringsewu,-5.3582,104.9744,80.85,77,72,1.14,ID,1635037997
Coahuayana Viejo,18.7333,-103.6833,81.88,86,100,2.1,MX,1635037997
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,75,40,4.47,RU,1635037857
Yeppoon,-23.1333,150.7333,87.58,65,98,10.56,AU,1635037998
Arlit,18.7369,7.3853,83.28,15,0,7.2,NE,1635037964
Vanimo,-2.6741,141.3028,85.69,64,51,8.41,PG,1635037998
Nemuro,43.3236,145.575,50.07,65,25,15.9,JP,1635037999
Srednekolymsk,67.45,153.6833,-4.23,89,44,4.76,RU,1635037741
Malé,4.1748,73.5089,82.94,69,94,13.33,MV,1635037999
La Ronge,55.1001,-105.2842,38.28,69,6,14.79,CA,1635037919
Novobiryusinskiy,56.9578,97.7076,38.07,85,100,14.38,RU,1635037999
Ternate,0.8,127.4,83.77,70,91,2.89,ID,1635038000
Chimbote,-9.0853,-78.5783,62.58,86,16,8.79,PE,1635038000
Atambua,-9.1061,124.8925,86.04,55,53,3.74,ID,1635037772
Natal,-5.795,-35.2094,81.25,78,40,10.36,BR,1635038000
Garoowe,8.4054,48.4845,73.33,77,26,8.16,SO,1635037747
High Rock,26.6208,-78.2833,77.02,75,94,11.36,BS,1635037869
Fairbanks,64.8378,-147.7164,37.4,74,1,0.0,US,1635037801
Teahupoo,-17.8333,-149.2667,76.53,81,99,16.13,PF,1635038001
Arcoverde,-8.4189,-37.0539,72.43,80,57,7.81,BR,1635038001
Vila Franca do Campo,37.7167,-25.4333,66.61,82,96,5.39,PT,1635038002
Avera,33.194,-82.5271,63.72,60,0,4.25,US,1635037717
Adré,13.4667,22.2,76.96,23,6,12.71,TD,1635038002
Dvinskoy,62.1535,45.1175,29.41,89,76,5.46,RU,1635038002
Igrim,63.1906,64.4162,30.02,83,85,10.45,RU,1635038003
Bonavista,48.6499,-53.1147,58.12,100,100,4.27,CA,1635038003
Lesosibirsk,58.2358,92.4828,39.31,96,100,12.93,RU,1635038003
Pailón,-17.65,-62.75,86.9,32,100,13.67,BO,1635038004
South Lake Tahoe,38.9332,-119.9844,47.73,83,90,10.36,US,1635037846
Loukhi,66.0764,33.0381,23.18,92,97,5.61,RU,1635038004
Montluçon,46.3333,2.6,38.73,84,0,4.85,FR,1635037744
Barra de Tecoanapa,16.5167,-98.75,74.39,89,100,5.12,MX,1635038005
Tura,25.5198,90.2201,66.51,80,44,2.86,IN,1635038005
Pontianak,-0.0333,109.3333,78.78,88,20,4.61,ID,1635037711
San Andrés,12.5847,-81.7006,82.42,83,40,4.61,CO,1635038005
Bismarck,46.8083,-100.7837,46.87,67,75,12.66,US,1635037852
Mackenzie,55.2999,-123.1698,44.31,83,100,3.69,CA,1635038006
Ouro Sogui,15.6064,-13.3211,84.34,54,42,12.5,SN,1635038006
Kavieng,-2.5744,150.7967,85.98,66,17,12.15,PG,1635037760
Pemba,-12.974,40.5178,75.85,83,100,9.31,MZ,1635038007
Rokytne,51.2796,27.214,42.48,76,100,11.9,UA,1635038007
Paita,-5.0892,-81.1144,65.79,83,95,16.37,PE,1635038007
Tonota,-21.4833,27.4833,74.26,18,8,3.83,BW,1635038008
Touba,8.2833,-7.6833,70.39,95,25,2.19,CI,1635038008
Ponta Delgada,37.7333,-25.6667,66.92,72,20,8.05,PT,1635038008
Marawi,7.9986,124.2928,72.64,66,86,3.22,PH,1635037831
Cafarnaum,-11.6936,-41.4683,70.61,89,100,4.94,BR,1635038009
Kieta,-6.2167,155.6333,84.11,73,16,6.33,PG,1635038009
Kawardha,22.0167,81.25,65.62,68,11,2.64,IN,1635038009
Larvik,59.0533,10.0352,45.03,77,90,4.61,NO,1635037717
Sudak,44.85,34.9667,57.07,84,100,6.71,UA,1635038010
Pimampiro,0.4,-77.9667,61.23,90,99,0.38,EC,1635038010
Port Lincoln,-34.7333,135.8667,60.01,60,17,11.63,AU,1635037810
Atar,20.5169,-13.0499,78.94,18,0,7.7,MR,1635038006
Bayanday,53.0661,105.5139,34.41,76,100,0.72,RU,1635038011
Nampula,-15.1165,39.2666,67.69,75,15,4.65,MZ,1635037990
Choya,52.0108,86.5467,41.36,63,100,3.87,RU,1635038011
Papetoai,-17.4961,-149.8729,81.55,82,100,16.73,PF,1635038011
Oodweyne,9.4092,45.064,69.44,33,3,12.12,SO,1635037705
Luau,-10.7073,22.2247,67.53,86,69,3.89,AO,1635038012
Kawalu,-7.3817,108.2082,79.54,78,89,2.75,ID,1635038012
Maralal,1.0968,36.698,59.97,70,5,5.55,KE,1635038012
Curup,-3.4667,102.5333,70.02,96,98,2.62,ID,1635038013
Brandon,27.9378,-82.2859,80.94,79,90,1.99,US,1635038013
Ouango,4.3133,22.5552,69.78,99,58,2.55,CF,1635038013
Cardoso,-20.0819,-49.9142,81.18,50,67,6.67,BR,1635038014
Hearst,49.6835,-83.6665,33.22,98,100,6.04,CA,1635037840
Bereda,43.2686,-7.5406,46.15,95,4,1.97,ES,1635038014
Sabang,5.8933,95.3214,81.05,75,100,1.66,ID,1635037797
Ukiah,39.1502,-123.2078,57.43,93,90,9.22,US,1635037756
Nzérékoré,7.7562,-8.8179,68.86,99,100,1.1,GN,1635038015
Maningrida,-12.0667,134.2667,91.35,50,15,11.36,AU,1635038015
